,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
1262,-119.64,34.43,32,1872,318.0,749,296,4.625,<1H OCEAN,500001
1263,-122.05,37.36,27,2621,513.0,1063,523,3.9848,<1H OCEAN,409700
1264,-117.25,34.51,7,3200,477.0,1522,470,4.6914,INLAND,142200
1265,-122.45,37.78,52,3975,716.0,1515,691,5.0156,NEAR BAY,500001
1266,-118.24,34.05,13,1703,697.0,1823,669,0.8288,<1H OCEAN,181300
1267,-121.15,40.25,14,5156,880.0,616,281,3.3462,INLAND,145200
1268,-117.06,32.56,5,2706,925.0,3148,855,1.7301,NEAR OCEAN,125000
1269,-122.45,40.46,16,2734,501.0,1413,484,2.8085,INLAND,105700
1270,-118.29,34.36,34,503,99.0,275,68,4.5491,INLAND,375000
1271,-122.19,37.77,41,2036,510.0,1412,454,2.0469,NEAR BAY,89300
1272,-117.88,33.55,27,2278,316.0,772,304,10.1275,<1H OCEAN,500001
1273,-117.92,34.07,29,1699,399.0,1052,411,3.2122,<1H OCEAN,195500
1274,-120.69,39.12,19,1048,262.0,493,184,2.2917,INLAND,118200
1275,-119.88,34.43,14,2472,685.0,1292,621,3.3026,NEAR OCEAN,229500
1276,-122.48,37.75,52,2515,494.0,1583,477,4.3393,NEAR BAY,317600
1277,-122.37,40.39,12,3783,702.0,1970,639,3.3005,INLAND,98500
1278,-118.08,33.78,34,2287,347.0,1051,346,5.5767,<1H OCEAN,372000
1279,-116.97,32.8,15,3927,1018.0,2204,977,2.4367,<1H OCEAN,111400
1280,-120.45,34.95,7,1479,532.0,1057,459,2.2538,<1H OCEAN,162500
1281,-122.7,38.44,45,883,202.0,401,194,3.2845,<1H OCEAN,178300
1282,-118.33,34.0,24,873,320.0,529,308,0.9304,<1H OCEAN,151600
1283,-118.25,34.03,52,1274,418.0,1655,368,2.1905,<1H OCEAN,124000
1284,-122.23,37.76,52,1049,185.0,374,176,4.1458,NEAR BAY,248500
1285,-117.3,34.52,34,4493,838.0,2335,779,3.1635,INLAND,74300
1286,-122.47,37.71,44,2547,511.0,1577,516,4.1939,NEAR OCEAN,237900
1287,-121.28,37.92,30,1061,230.0,851,195,2.4412,INLAND,61600
1288,-119.74,36.75,47,2236,418.0,1042,397,2.9545,INLAND,59600
1289,-118.16,33.94,25,5675,1224.0,3317,1119,3.9352,<1H OCEAN,232900
1290,-117.08,32.62,28,2468,506.0,1353,522,3.0771,NEAR OCEAN,158600
1291,-121.76,36.92,46,947,257.0,1120,264,3.4125,<1H OCEAN,160700
1292,-117.65,34.14,9,3877,490.0,1815,490,8.4839,INLAND,406700
1293,-121.84,36.61,21,2876,802.0,2487,795,2.2007,<1H OCEAN,112800
1294,-122.58,38.43,10,3597,661.0,1132,639,3.9375,<1H OCEAN,269200
1295,-117.13,32.72,32,2197,623.0,1784,599,1.901,NEAR OCEAN,120300
1296,-117.18,34.07,7,1347,301.0,799,276,2.9485,INLAND,112500
1297,-119.78,36.86,8,3468,675.0,1604,626,4.2071,INLAND,128300
1298,-118.33,34.2,43,2322,418.0,1106,433,4.3631,<1H OCEAN,284600
1299,-118.08,33.89,37,1152,259.0,981,225,3.2857,<1H OCEAN,153600
1300,-121.4,38.49,12,7290,1283.0,3960,1248,3.5968,INLAND,106300
1301,-120.87,41.54,21,1091,208.0,660,188,2.2321,INLAND,34600
1302,-120.71,40.13,19,897,180.0,276,110,2.9554,INLAND,89400
1303,-118.14,33.87,44,1607,271.0,799,283,5.084,<1H OCEAN,214100
1304,-122.35,37.96,29,1899,524.0,1357,443,1.875,NEAR BAY,97200
1305,-117.96,33.68,24,6517,1279.0,3441,1198,4.25,<1H OCEAN,152100
1306,-117.22,34.11,26,2972,431.5,1972,532,2.0388,INLAND,80400
1307,-117.93,33.74,5,639,197.0,666,197,3.3017,<1H OCEAN,87500
1308,-122.31,40.55,11,13714,2302.0,6511,2267,3.5522,INLAND,100100
1309,-119.86,34.41,24,1576,580.0,1630,531,1.24,NEAR OCEAN,325000
1310,-122.72,38.45,41,1743,373.0,780,357,3.1467,<1H OCEAN,175500
1311,-121.18,38.78,13,3480,528.0,1432,532,6.1642,INLAND,277800
1312,-119.55,36.6,18,2379,448.0,1638,436,2.309,INLAND,57100
1313,-118.08,34.11,42,1969,353.0,927,354,5.5924,<1H OCEAN,285300
1314,-118.14,33.84,36,3002,484.0,1322,471,4.933,<1H OCEAN,228900
1315,-118.33,34.1,29,732,288.0,691,278,2.1866,<1H OCEAN,250000
1316,-121.22,38.0,35,1841,300.0,783,285,2.8167,INLAND,162100
1317,-118.32,34.05,42,3292,713.0,2224,674,3.5517,<1H OCEAN,291500
1318,-122.34,37.57,28,3751,949.0,1691,846,3.9728,NEAR OCEAN,300000
1319,-117.18,34.07,14,1258,245.0,752,264,3.3924,INLAND,97400
1320,-117.23,32.72,38,2827,581.0,972,558,3.2361,NEAR OCEAN,500001
1321,-121.1,37.8,35,1853,331.0,958,340,3.3578,INLAND,149000
1322,-119.36,36.22,10,2445,526.0,1262,476,1.9355,INLAND,68300
1323,-117.47,33.94,34,2086,417.0,1501,395,3.2311,INLAND,105600
1324,-120.91,37.73,31,840,154.0,429,150,2.4063,INLAND,170200
1325,-117.85,34.11,25,9255,1659.0,4944,1627,4.5708,INLAND,223000
1326,-118.43,34.22,34,1588,360.0,1080,340,3.66,<1H OCEAN,184600
1327,-118.39,34.01,35,4424,918.0,2101,888,3.9688,<1H OCEAN,355100
1328,-118.37,34.06,52,2239,423.0,832,411,5.0858,<1H OCEAN,470000
1329,-120.68,35.25,16,4208,897.0,1634,806,2.2868,NEAR OCEAN,233700
1330,-117.96,33.93,31,1471,321.0,841,330,3.46,<1H OCEAN,232800
1331,-117.25,32.77,32,2021,524.0,973,485,3.18,NEAR OCEAN,362500
1332,-120.76,37.58,35,1395,264.0,756,253,3.6181,INLAND,178600
1333,-121.97,38.03,17,3685,685.0,1939,649,3.7043,INLAND,139800
1334,-118.06,34.09,36,1239,238.0,717,237,3.244,<1H OCEAN,258100
1335,-122.48,37.76,52,1845,336.0,1015,337,4.1397,NEAR BAY,331300
1336,-122.45,38.01,36,4501,832.0,2196,800,4.3182,NEAR BAY,252700
1337,-122.87,38.62,18,2721,557.0,1667,539,3.1875,<1H OCEAN,176100
1338,-117.16,32.58,36,1940,399.0,1076,382,3.3906,NEAR OCEAN,147800
1339,-117.86,33.85,17,1131,236.0,622,244,4.9306,<1H OCEAN,158500
1340,-117.21,34.08,5,5749,1385.0,2382,1088,3.0587,INLAND,143100
1341,-118.08,33.85,19,4261,678.0,2621,661,6.2427,<1H OCEAN,288700
1342,-122.27,37.54,15,2126,310.0,905,306,8.9083,NEAR BAY,500001
1343,-120.4,37.3,28,1401,431.5,967,257,1.5917,INLAND,89400
1344,-122.08,37.38,36,857,156.0,448,168,5.0086,NEAR BAY,366700
1345,-121.46,38.66,3,3438,603.0,1602,554,3.9914,INLAND,120500
1346,-122.23,37.8,51,1590,414.0,949,392,1.9028,NEAR BAY,127900
1347,-118.21,34.21,41,1676,263.0,757,255,4.7734,<1H OCEAN,450800
1348,-117.64,33.64,11,2422,429.0,810,395,6.1935,<1H OCEAN,293200
1349,-120.44,37.28,12,2855,598.0,1658,586,2.3929,INLAND,81100
1350,-122.08,37.66,33,1547,372.0,1063,356,2.5625,NEAR BAY,154300
1351,-120.43,37.35,15,1613,203.0,673,213,5.9378,INLAND,212200
1352,-122.19,37.77,52,2170,428.0,1086,425,3.3715,NEAR BAY,143900
1353,-117.9,33.69,13,9947,1675.0,4071,1582,5.422,<1H OCEAN,316600
1354,-118.32,33.9,36,1741,412.0,1245,423,4.1344,<1H OCEAN,210300
1355,-122.71,38.46,41,1974,482.0,965,458,2.905,<1H OCEAN,159300
1356,-118.43,34.24,35,1416,261.0,995,272,3.7143,<1H OCEAN,178700
1357,-119.14,36.29,36,788,181.0,405,180,1.47,INLAND,61900
1358,-117.87,33.86,28,2292,531.0,2197,509,3.4856,<1H OCEAN,142800
1359,-117.99,33.97,18,4078,484.0,1490,482,10.8034,<1H OCEAN,500001
1360,-118.31,34.03,29,2438,867.0,2114,753,0.8351,<1H OCEAN,150000
1361,-122.08,37.92,26,1733,265.0,796,274,6.195,NEAR BAY,264900
1362,-118.3,34.1,29,3403,1367.0,3432,1174,1.7083,<1H OCEAN,166700
1363,-118.38,34.03,36,2101,569.0,1756,527,2.9344,<1H OCEAN,222100
1364,-122.8,39.08,17,1880,467.0,798,342,1.4676,INLAND,65000
1365,-118.26,33.83,24,3059,431.5,2064,629,3.5518,<1H OCEAN,184600
1366,-118.97,35.41,36,1896,315.0,937,303,3.996,INLAND,85500
1367,-122.45,37.66,35,2738,509.0,1545,493,5.3446,NEAR OCEAN,263300
1368,-122.51,38.76,9,2589,482.0,1050,374,4.0435,INLAND,132600
1369,-121.03,39.14,10,3138,524.0,1275,511,4.0775,INLAND,164500
1370,-121.91,37.43,33,2791,496.0,1714,485,4.8304,<1H OCEAN,224900
1371,-118.35,33.88,36,1583,411.0,1097,350,4.0737,<1H OCEAN,238200
1372,-117.83,34.1,18,11026,1978.0,5407,1923,4.075,INLAND,231100
1373,-117.5,33.92,31,2529,513.0,1504,426,2.9821,INLAND,115600
1374,-118.4,34.0,34,1816,335.0,872,339,4.85,<1H OCEAN,329400
1375,-117.98,33.64,20,1851,495.0,792,363,3.8187,NEAR OCEAN,137500
1376,-122.23,37.79,48,1696,396.0,1481,343,2.0375,NEAR BAY,122500
1377,-121.41,38.34,24,1605,277.0,1966,250,3.0833,INLAND,162500
1378,-118.27,33.96,38,1126,270.0,999,265,0.5495,<1H OCEAN,91700
1379,-117.17,32.72,44,626,256.0,572,229,1.5909,NEAR OCEAN,262500
1380,-122.28,37.54,24,5114,1357.0,3169,1268,3.9699,NEAR OCEAN,293200
1381,-121.53,39.52,24,1028,185.0,471,186,2.9688,INLAND,86400
1382,-118.28,34.09,52,2273,663.0,1480,597,2.3333,<1H OCEAN,196500
1383,-118.15,34.12,43,1810,427.0,742,429,3.8529,<1H OCEAN,350000
1384,-121.49,38.53,40,2966,536.0,1225,505,3.125,INLAND,130600
1385,-121.45,38.61,32,2436,612.0,1509,618,1.0424,INLAND,81400
1386,-117.11,32.76,29,2030,545.0,1014,518,2.2409,NEAR OCEAN,114200
1387,-122.26,37.83,52,1656,420.0,718,382,2.6768,NEAR BAY,182300
1388,-118.67,34.16,17,16544,2206.0,6214,2118,9.1228,<1H OCEAN,500001
1389,-122.39,40.64,13,3604,704.0,1598,670,2.4141,INLAND,78700
1390,-122.19,37.77,42,932,254.0,900,263,1.8039,NEAR BAY,92300
1391,-119.85,34.44,28,1765,301.0,1173,297,6.0256,NEAR OCEAN,276800
1392,-122.19,37.78,49,1183,205.0,496,209,5.2328,NEAR BAY,174200
1393,-118.06,34.14,42,2461,379.0,1179,360,7.0315,INLAND,437300
1394,-118.45,34.3,35,4085,919.0,3988,906,3.4812,<1H OCEAN,160200
1395,-121.52,38.51,23,6876,1456.0,2942,1386,3.0963,INLAND,156900
1396,-117.18,34.48,8,3561,691.0,2156,659,2.7778,INLAND,86900
1397,-122.85,38.52,13,4808,848.0,2568,762,3.6583,<1H OCEAN,183200
1398,-119.69,36.75,6,1926,303.0,965,316,4.7463,INLAND,93100
1399,-118.71,34.28,27,2911,562.0,1773,580,4.6528,<1H OCEAN,186600
1400,-118.14,34.57,6,9882,1892.0,4892,1621,3.7636,INLAND,167600
1401,-118.37,34.03,43,1350,287.0,811,307,3.3636,<1H OCEAN,140900
1402,-117.55,33.83,6,502,76.0,228,65,4.2386,INLAND,500001
1403,-122.07,37.91,28,1731,295.0,810,295,5.0391,NEAR BAY,259800
1404,-121.87,37.21,18,1080,122.0,382,121,9.08,<1H OCEAN,500001
1405,-118.1,33.85,36,956,159.0,416,157,4.6429,<1H OCEAN,223700
1406,-120.37,34.69,18,1868,315.0,747,265,4.7946,NEAR OCEAN,290600
1407,-122.01,37.55,26,2068,532.0,1434,495,3.3008,NEAR BAY,224200
1408,-122.25,37.81,52,2155,701.0,895,613,2.5795,NEAR BAY,350000
1409,-117.98,33.69,22,3957,520.0,1774,527,7.0907,<1H OCEAN,350200
1410,-118.2,34.21,40,1477,228.0,609,224,7.8375,<1H OCEAN,500001
1411,-118.0,33.76,26,1876,455.0,1499,436,2.925,<1H OCEAN,176000
1412,-117.32,34.14,32,1691,353.0,1457,329,1.8438,INLAND,66600
1413,-122.13,37.44,42,2390,462.0,1146,468,6.3111,NEAR BAY,397400
1414,-117.94,33.94,30,1596,307.0,845,309,4.5096,<1H OCEAN,241100
1415,-118.03,34.07,37,1091,269.0,905,242,3.1042,<1H OCEAN,152000
1416,-119.07,37.8,12,1736,352.0,330,123,3.5294,INLAND,160700
1417,-122.49,37.6,33,3507,669.0,1697,660,4.0795,NEAR OCEAN,270600
1418,-122.27,37.86,52,1769,372.0,849,365,2.6914,NEAR BAY,218800
1419,-121.32,38.57,15,3369,499.0,1733,470,5.31,INLAND,127500
1420,-121.84,37.37,15,3315,1042.0,2749,1059,2.3199,<1H OCEAN,140100
1421,-118.43,35.12,8,1968,376.0,930,360,3.2632,INLAND,99800
1422,-120.13,37.93,5,111,26.0,58,25,1.675,INLAND,112500
1423,-117.92,33.93,12,4415,890.0,1532,854,3.75,<1H OCEAN,166300
1424,-118.17,34.04,38,385,102.0,402,95,1.625,<1H OCEAN,129700
1425,-118.15,34.15,52,275,123.0,273,111,1.1667,<1H OCEAN,500001
1426,-122.08,37.82,4,2045,237.0,830,252,11.3421,NEAR BAY,500001
1427,-119.41,36.35,20,1743,340.0,1390,336,2.2222,INLAND,52900
1428,-118.36,34.16,43,2850,709.0,1510,670,2.4835,<1H OCEAN,274300
1429,-118.47,34.01,41,752,201.0,482,207,2.5417,<1H OCEAN,418200
1430,-117.26,33.02,9,4632,759.0,1724,685,6.3712,NEAR OCEAN,369800
1431,-117.91,33.76,20,4413,431.5,4818,1063,2.8594,<1H OCEAN,215100
1432,-121.85,37.28,17,4208,954.0,1476,904,2.3971,<1H OCEAN,87500
1433,-121.95,37.31,27,4140,431.5,2135,893,3.6292,<1H OCEAN,264600
1434,-118.55,34.19,36,978,170.0,475,192,4.675,<1H OCEAN,222500
1435,-117.68,33.48,15,1786,299.0,727,293,5.0527,<1H OCEAN,231400
1436,-122.42,37.66,41,2189,414.0,1063,409,4.7361,NEAR OCEAN,302600
1437,-118.23,33.96,36,1062,270.0,1136,273,1.6597,<1H OCEAN,109100
1438,-122.68,38.46,19,4976,711.0,1926,625,7.3003,<1H OCEAN,381300
1439,-120.43,34.97,28,1433,270.0,1001,278,4.0125,<1H OCEAN,130100
1440,-118.28,33.96,34,2074,562.0,1913,514,1.6156,<1H OCEAN,102100
1441,-117.96,34.04,35,1141,212.0,924,212,3.1591,<1H OCEAN,148300
1442,-121.47,38.7,31,1007,181.0,563,185,3.625,INLAND,91300
1443,-122.35,37.56,52,1659,191.0,519,201,14.4219,NEAR OCEAN,500001
1444,-117.89,33.88,27,2091,336.0,1037,332,5.7519,<1H OCEAN,243400
1445,-118.43,33.99,35,2243,495.0,1135,465,4.3281,<1H OCEAN,324000
1446,-118.52,34.19,37,1892,347.0,1039,343,4.8295,<1H OCEAN,212100
1447,-118.16,35.05,44,1297,307.0,776,278,2.5875,INLAND,68900
1448,-122.62,38.92,13,520,115.0,249,109,1.8417,INLAND,84700
1449,-122.22,37.78,50,1776,473.0,1807,440,1.7276,NEAR BAY,102300
1450,-119.79,36.84,22,1529,375.0,1543,395,1.7926,INLAND,51700
1451,-118.56,34.37,23,3927,728.0,1984,707,4.8536,<1H OCEAN,202600
1452,-117.68,33.47,7,4458,731.0,1731,704,6.126,<1H OCEAN,285600
1453,-117.73,33.51,5,4549,786.0,1238,632,6.1785,<1H OCEAN,295900
1454,-119.56,36.1,25,1093,262.0,893,252,2.13,INLAND,50800
1455,-117.45,34.11,7,6356,1244.0,4052,1164,2.9112,INLAND,121700
1456,-117.4,34.08,21,3622,667.0,2503,720,3.8531,INLAND,105400
1457,-117.15,32.91,10,2349,431.0,1598,435,4.8229,<1H OCEAN,183200
1458,-121.29,37.95,52,107,79.0,167,53,0.7917,INLAND,22500
1459,-118.31,34.02,45,1423,278.0,822,276,2.4519,<1H OCEAN,98100
1460,-118.16,33.84,36,1348,234.0,643,221,3.6447,<1H OCEAN,211000
1461,-119.29,34.29,33,3854,982.0,1835,894,3.5294,NEAR OCEAN,323900
1462,-118.4,33.88,36,3022,482.0,1278,494,7.2651,<1H OCEAN,500001
1463,-117.17,32.77,35,1399,274.0,695,281,3.767,NEAR OCEAN,166800
1464,-122.43,37.8,52,2994,821.0,1240,779,3.3715,NEAR BAY,500000
1465,-124.15,40.81,50,340,74.0,235,83,1.75,NEAR OCEAN,67500
1466,-121.41,40.82,16,2668,516.0,915,362,2.3393,INLAND,90300
1467,-117.07,32.75,9,3464,749.0,1687,645,3.3026,NEAR OCEAN,119100
1468,-118.44,34.28,46,11,11.0,24,13,2.875,<1H OCEAN,162500
1469,-118.17,33.9,12,3653,993.0,3215,854,2.8681,<1H OCEAN,114200
1470,-119.89,34.44,25,2786,470.0,1669,462,5.5184,NEAR OCEAN,268300
1471,-118.08,33.82,26,4259,588.0,1644,581,6.2519,<1H OCEAN,345700
1472,-121.82,38.0,30,3268,567.0,1714,565,4.4583,INLAND,131000
1473,-121.08,39.18,19,2323,397.0,963,379,3.7426,INLAND,162700
1474,-118.61,34.21,34,3494,557.0,1861,576,5.6407,<1H OCEAN,251500
1475,-117.91,33.64,40,1958,333.0,876,364,3.6406,<1H OCEAN,326100
1476,-122.5,37.77,52,2739,569.0,1312,531,3.5833,NEAR BAY,322900
1477,-118.03,33.91,35,2323,406.0,1741,398,4.2437,<1H OCEAN,164100
1478,-117.33,33.17,11,10923,2041.0,4773,1858,4.0791,NEAR OCEAN,281300
1479,-117.25,34.04,18,5761,1063.0,2763,1058,4.4472,INLAND,161100
1480,-118.26,33.97,46,1295,351.0,1120,323,1.7121,<1H OCEAN,98200
1481,-119.77,36.32,14,3400,618.0,1867,612,3.9926,INLAND,92500
1482,-122.66,40.52,13,3013,486.0,1361,515,4.5357,INLAND,171200
1483,-117.17,32.78,17,3845,1051.0,3102,944,2.3658,NEAR OCEAN,164100
1484,-119.85,36.8,14,4177,914.0,2300,867,2.9565,INLAND,73000
1485,-118.16,33.8,9,3564,835.0,1530,807,5.1806,NEAR OCEAN,175000
1486,-121.69,39.36,29,2220,471.0,1170,428,2.3224,INLAND,56200
1487,-118.21,34.04,36,1825,479.0,2097,480,2.1862,<1H OCEAN,135300
1488,-117.79,33.77,23,3596,451.0,1292,458,8.5403,<1H OCEAN,451300
1489,-118.26,34.12,52,1942,476.0,1375,477,2.7348,<1H OCEAN,209100
1490,-121.24,37.98,33,450,123.0,236,103,1.1964,INLAND,80400
1491,-122.19,37.48,35,7067,1646.0,5380,1597,4.1776,NEAR BAY,265300
1492,-122.08,37.88,24,2059,462.0,410,294,2.3971,NEAR BAY,99400
1493,-122.24,37.85,52,3726,474.0,1366,496,9.3959,NEAR BAY,500001
1494,-121.87,37.29,18,1892,568.0,974,553,2.3715,<1H OCEAN,228000
1495,-121.27,37.93,24,1451,320.0,1413,283,2.125,INLAND,61200
1496,-117.46,34.07,19,3155,572.0,2482,642,2.9973,INLAND,113400
1497,-121.49,38.53,42,1468,281.0,571,271,3.3906,INLAND,124200
1498,-116.44,33.74,5,846,249.0,117,67,7.9885,INLAND,403300
1499,-118.05,33.99,42,2480,401.0,1085,438,5.193,<1H OCEAN,263400
1500,-119.09,36.22,34,1715,290.0,780,297,3.4306,INLAND,74300
1501,-118.1,33.99,31,965,217.0,599,206,2.7202,<1H OCEAN,190300
1502,-118.27,34.05,24,323,214.0,751,189,1.8304,<1H OCEAN,225000
1503,-121.26,38.67,18,1830,313.0,905,361,4.2273,INLAND,141800
1504,-119.79,36.29,6,1265,227.0,764,246,4.2917,INLAND,104200
1505,-118.31,33.94,40,1323,243.0,684,229,3.2206,<1H OCEAN,145800
1506,-119.77,36.77,29,2554,705.0,2669,655,1.2176,INLAND,61900
1507,-117.31,32.83,38,2367,480.0,891,428,4.1477,NEAR OCEAN,500001
1508,-117.97,33.93,31,1975,373.0,918,347,4.4107,<1H OCEAN,202000
1509,-120.94,37.74,35,1166,268.0,515,266,2.3469,INLAND,90200
1510,-117.76,34.12,16,9020,1509.0,3575,1486,4.2415,INLAND,275700
1511,-117.98,34.02,32,2945,651.0,2044,652,3.1979,<1H OCEAN,183900
1512,-122.22,37.47,23,7740,1943.0,4124,1743,3.3268,NEAR OCEAN,322800
1513,-117.13,32.98,5,2276,311.0,1158,317,6.4321,<1H OCEAN,271900
1514,-121.97,36.98,17,2813,497.0,1337,477,3.7083,NEAR OCEAN,252400
1515,-120.97,38.65,9,3707,602.0,1601,555,4.0714,INLAND,300600
1516,-117.78,33.69,16,4702,806.0,2529,814,5.1299,<1H OCEAN,238900
1517,-122.03,38.25,13,3334,541.0,1923,538,4.0905,INLAND,134800
1518,-118.21,33.96,39,2050,529.0,1959,485,2.1389,<1H OCEAN,168900
1519,-121.95,37.32,39,1164,199.0,619,231,4.6304,<1H OCEAN,263200
1520,-122.61,38.24,18,2933,481.0,1279,443,5.0849,<1H OCEAN,188500
1521,-118.03,33.99,52,2792,461.0,1177,439,3.4312,<1H OCEAN,243800
1522,-118.85,34.14,24,1999,244.0,759,247,8.7657,<1H OCEAN,366300
1523,-118.37,34.11,42,5518,979.0,1863,957,8.5842,<1H OCEAN,500001
1524,-118.35,34.06,52,3446,1360.0,1768,1245,2.4722,<1H OCEAN,500001
1525,-117.0,32.79,31,3256,726.0,1595,706,3.4773,<1H OCEAN,155800
1526,-117.07,33.12,21,4578,927.0,2818,900,3.1458,<1H OCEAN,187700
1527,-122.3,38.29,48,2278,477.0,1219,453,2.9643,NEAR BAY,154000
1528,-122.43,37.78,10,2380,843.0,1245,789,1.3062,NEAR BAY,220000
1529,-122.45,37.78,52,1345,291.0,560,294,3.7159,NEAR BAY,494400
1530,-118.24,33.9,40,1308,272.0,901,257,2.8269,<1H OCEAN,98000
1531,-122.09,37.39,36,1035,196.0,475,205,5.5385,NEAR BAY,359000
1532,-120.89,37.48,27,1118,195.0,647,209,2.9135,INLAND,159400
1533,-117.77,34.08,27,5929,932.0,2817,828,6.0434,INLAND,214800
1534,-121.42,38.54,18,2525,501.0,1726,468,2.398,INLAND,87600
1535,-119.85,36.74,35,1191,190.0,537,182,3.5375,INLAND,96700
1536,-118.22,33.98,42,626,143.0,625,156,3.125,<1H OCEAN,166300
1537,-115.52,34.22,30,540,136.0,122,63,1.3333,INLAND,42500
1538,-121.57,38.19,36,1395,264.0,700,244,2.4353,INLAND,162500
1539,-122.01,37.53,27,1890,303.0,889,314,5.7057,NEAR BAY,287600
1540,-121.58,37.01,44,3192,565.0,1439,568,4.3693,INLAND,234000
1541,-120.49,37.3,50,985,309.0,621,250,1.3125,INLAND,60900
1542,-117.8,33.7,5,1549,378.0,735,355,5.2923,<1H OCEAN,194000
1543,-117.25,33.3,14,2513,351.0,1151,357,6.3054,<1H OCEAN,359000
1544,-118.45,34.0,43,1606,408.0,862,354,3.962,<1H OCEAN,345800
1545,-122.28,37.9,52,2003,250.0,658,244,10.0825,NEAR BAY,397000
1546,-118.29,34.01,42,814,223.0,511,188,2.3942,<1H OCEAN,123200
1547,-120.54,34.97,23,1353,345.0,1322,336,1.8185,<1H OCEAN,97800
1548,-120.55,38.43,18,1564,357.0,618,277,2.3549,INLAND,108900
1549,-121.01,37.67,37,2483,459.0,1072,445,3.0721,INLAND,108100
1550,-116.06,34.15,15,10377,2331.0,4507,1807,2.2466,INLAND,66800
1551,-117.23,32.88,18,5566,1465.0,6303,1458,1.858,NEAR OCEAN,205000
1552,-117.78,34.05,39,2933,590.0,1886,550,3.9224,INLAND,131300
1553,-121.78,38.01,19,2688,469.0,1216,422,4.4491,INLAND,133900
1554,-119.34,35.59,33,3240,654.0,1809,616,2.3934,INLAND,71900
1555,-118.38,33.97,42,1859,337.0,813,326,6.019,<1H OCEAN,294500
1556,-117.74,34.11,28,3494,566.0,1391,522,5.3637,INLAND,214700
1557,-118.32,33.88,34,1803,341.0,947,333,5.5538,<1H OCEAN,280300
1558,-119.79,34.4,20,3104,415.0,1061,380,9.6885,NEAR OCEAN,500001
1559,-118.15,34.07,40,1072,204.0,940,200,3.125,<1H OCEAN,242700
1560,-118.27,34.25,35,779,143.0,371,150,4.6635,<1H OCEAN,230100
1561,-122.01,37.03,21,5904,956.0,2616,916,5.9039,NEAR OCEAN,355300
1562,-121.97,37.97,26,1977,264.0,817,273,5.7512,INLAND,240200
1563,-118.02,33.91,34,2518,429.0,1309,421,4.7861,<1H OCEAN,210700
1564,-117.78,33.7,16,1663,250.0,597,204,5.409,<1H OCEAN,233900
1565,-122.31,38.0,29,3108,534.0,1687,516,4.3333,NEAR BAY,170800
1566,-122.01,37.91,21,10093,1269.0,3645,1219,7.6877,NEAR BAY,367700
1567,-118.47,34.16,30,3823,740.0,1449,612,4.6,<1H OCEAN,392500
1568,-118.28,34.11,52,1803,437.0,787,388,4.5781,<1H OCEAN,360500
1569,-118.31,33.93,35,1580,266.0,926,282,5.0653,<1H OCEAN,158000
1570,-118.22,34.14,52,1388,271.0,735,239,3.7404,<1H OCEAN,247700
1571,-117.09,32.65,20,1445,323.0,573,334,2.619,NEAR OCEAN,145800
1572,-117.67,34.12,15,3162,495.0,1145,473,5.3525,INLAND,191700
1573,-122.19,37.73,45,1528,291.0,801,287,1.2625,NEAR BAY,84700
1574,-118.0,33.88,18,2628,720.0,2276,649,2.735,<1H OCEAN,170800
1575,-121.83,37.31,19,11181,1895.0,7817,1853,5.6058,<1H OCEAN,232700
1576,-122.31,40.49,18,4026,718.0,1731,705,3.35,INLAND,118400
1577,-122.26,37.87,52,2773,998.0,1721,949,1.1859,NEAR BAY,241700
1578,-117.1,32.68,47,1044,274.0,1003,280,1.7802,NEAR OCEAN,97800
1579,-117.99,33.78,15,4273,993.0,2300,946,3.5313,<1H OCEAN,213000
1580,-118.15,33.97,32,927,250.0,970,248,2.1591,<1H OCEAN,181500
1581,-117.91,33.78,26,4297,1037.0,3596,967,3.045,<1H OCEAN,184000
1582,-117.08,32.58,15,1462,274.0,1002,271,3.9698,NEAR OCEAN,142700
1583,-117.03,32.79,17,7352,1699.0,3331,1634,2.7006,<1H OCEAN,166300
1584,-122.59,38.58,18,3753,752.0,1454,668,3.7585,<1H OCEAN,185700
1585,-121.58,39.15,38,1756,396.0,837,401,1.9122,INLAND,55500
1586,-118.26,33.95,44,1513,369.0,1088,344,1.2969,<1H OCEAN,94400
1587,-117.21,33.97,3,18356,2537.0,8437,2342,5.6409,INLAND,197700
1588,-120.41,37.88,16,744,141.0,311,122,4.4231,INLAND,87500
1589,-117.95,33.71,16,6058,1715.0,3285,1495,3.4133,<1H OCEAN,290900
1590,-121.22,38.67,20,1412,226.0,700,227,4.05,INLAND,130700
1591,-118.22,34.23,34,3296,483.0,1268,478,8.4802,<1H OCEAN,500001
1592,-122.05,37.87,30,2296,329.0,847,322,6.7192,NEAR BAY,397500
1593,-118.11,34.01,22,1141,332.0,1189,321,2.2042,<1H OCEAN,162500
1594,-122.43,37.77,52,2514,729.0,1428,597,2.3977,NEAR BAY,412500
1595,-118.48,34.0,41,2584,743.0,1058,668,3.2061,<1H OCEAN,370000
1596,-116.48,33.94,10,3254,913.0,923,486,1.8,INLAND,81000
1597,-121.98,38.32,45,19,5.0,7460,6,10.2264,INLAND,137500
1598,-123.35,40.99,23,141,59.0,47,23,1.125,INLAND,66000
1599,-121.94,37.31,5,2364,578.0,1102,502,5.2642,<1H OCEAN,246400
